zone names,zone id,lon C,lat C,lon 1,lat 1,lon 2,lat 2,lon 3,lat 3,lon 4,lat 4
Formia,1,13.625895750000002,41.23459575,13.593601,41.202301,13.658190500000002,41.202301,13.658190500000002,41.2668905,13.593601,41.2668905
Minturno,1,13.691495750000001,41.22459574999999,13.659201,41.19230099999999,13.723790500000002,41.19230099999999,13.723790500000002,41.2568905,13.659201,41.2568905
Cellole,1,13.757095750000001,41.19229575,13.724801,41.160000999999994,13.789390500000001,41.160000999999994,13.789390500000001,41.2245905,13.724801,41.2245905
Dominzia,1,13.82269575,41.13919575,13.790401,41.106901,13.854990500000001,41.106901,13.854990500000001,41.171490500000004,13.790401,41.171490500000004
Mondragrone,1,13.888295750000001,41.08759575,13.856001,41.055301,13.920590500000001,41.055301,13.920590500000001,41.119890500000004,13.856001,41.119890500000004
Volturno,100,13.885295750000001,41.02199575,13.853000999999999,40.989701,13.917590500000001,40.989701,13.917590500000001,41.0542905,13.853000999999999,41.0542905
Coppola,1,13.951795750000002,40.99069574999999,13.919501,40.958400999999995,13.984090500000002,40.958400999999995,13.984090500000002,41.0229905,13.919501,41.0229905
Patria,1,13.98209575,40.92509575,13.949800999999999,40.892801,14.014390500000001,40.892801,14.014390500000001,40.9573905,13.949800999999999,40.9573905
Torregaveta,1,14.029395750000003,40.859495749999994,13.997101,40.827200999999995,14.061690500000003,40.827200999999995,14.061690500000003,40.8917905,13.997101,40.8917905
IschiAMP,1,13.915495749999998,40.773895749999994,13.883200999999998,40.741600999999996,13.9477905,40.741600999999996,13.9477905,40.8061905,13.883200999999998,40.8061905
IschiaNW,1,13.849895750000002,40.773895749999994,13.817601,40.741600999999996,13.882190500000002,40.741600999999996,13.882190500000002,40.8061905,13.817601,40.8061905
CanaleN,12,13.98209575,40.78389575,13.949800999999999,40.751601,14.014390500000001,40.751601,14.014390500000001,40.816190500000005,13.949800999999999,40.816190500000005
CanaleW,12,14.00129575,40.71429575,13.969001,40.682001,14.033590500000003,40.682001,14.033590500000003,40.7465905,13.969001,40.7465905
CanaleE,12,14.06689575,40.780995749999995,14.034600999999999,40.748701,14.0991905,40.748701,14.0991905,40.8132905,14.034600999999999,40.8132905
Bagnoli,2,14.13249575,40.80969575,14.100200999999998,40.777401,14.1647905,40.777401,14.1647905,40.8419905,14.100200999999998,40.8419905
Gaiola,2,14.199295750000001,40.78729575,14.167000999999999,40.755001,14.231590500000001,40.755001,14.231590500000001,40.819590500000004,14.167000999999999,40.819590500000004
Napoli-MC,2,14.26789575,40.789195750000005,14.235600999999999,40.756901,14.300190500000001,40.756901,14.300190500000001,40.8214905,14.235600999999999,40.8214905
TorrGr,2,14.363595750000002,40.776495749999995,14.331301,40.744201,14.395890500000002,40.744201,14.395890500000002,40.8087905,14.331301,40.8087905
Sarno,200,14.453595750000002,40.72229575,14.421301,40.690001,14.485890500000002,40.690001,14.485890500000002,40.754590500000006,14.421301,40.754590500000006
VicoSorr,2,14.38900425,40.65499574999999,14.3567095,40.62270099999999,14.421299000000001,40.62270099999999,14.421299000000001,40.687290499999996,14.3567095,40.687290499999996
MassaL,2,14.32191275,40.62269999999999,14.289617999999997,40.59040524999999,14.3542075,40.59040524999999,14.3542075,40.65499474999999,14.289617999999997,40.65499474999999
Capri,2,14.223695750000001,40.553495749999996,14.191400999999999,40.521201,14.255990500000001,40.521201,14.255990500000001,40.5857905,14.191400999999999,40.5857905
CanyonDohrn,2,14.142295749999999,40.64729575,14.110000999999999,40.615001,14.1745905,40.615001,14.1745905,40.6795905,14.110000999999999,40.6795905
BoccaP,23,14.293295750000002,40.553495749999996,14.261001,40.521201,14.325590500000002,40.521201,14.325590500000002,40.5857905,14.261001,40.5857905
PuntaCamp,3,14.36889575,40.554595750000004,14.336601,40.522301,14.401190500000002,40.522301,14.401190500000002,40.5868905,14.336601,40.5868905
Fontanelle,3,14.43449575,40.58689575,14.402201,40.554601,14.466790500000002,40.554601,14.466790500000002,40.6191905,14.402201,40.6191905
Positano,3,14.500095750000003,40.62189574999999,14.467801000000001,40.589600999999995,14.532390500000004,40.589600999999995,14.532390500000004,40.6541905,14.467801000000001,40.6541905
Praiano,3,14.56569575,40.61189575,14.533401,40.579601,14.597990500000002,40.579601,14.597990500000002,40.6441905,14.533401,40.6441905
Maiori,3,14.63129575,40.63419575,14.599001,40.601901,14.663590500000002,40.601901,14.663590500000002,40.6664905,14.599001,40.6664905
Cetara,3,14.696795750000003,40.63419575,14.664501000000001,40.601901,14.729090500000003,40.601901,14.729090500000003,40.6664905,14.664501000000001,40.6664905
VietriSalerno,3,14.76239575,40.65649574999999,14.730101,40.62420099999999,14.794690500000002,40.62420099999999,14.794690500000002,40.688790499999996,14.730101,40.688790499999996
Arechi,3,14.832995749999998,40.61419574999999,14.800700999999998,40.581900999999995,14.8652905,40.581900999999995,14.8652905,40.6464905,14.800700999999998,40.6464905
Aversana,3,14.882095750000001,40.548595750000004,14.849801,40.516301,14.914390500000001,40.516301,14.914390500000001,40.5808905,14.849801,40.5808905
Sele,300,14.92519575,40.48299574999999,14.892900999999998,40.450700999999995,14.9574905,40.450700999999995,14.9574905,40.5152905,14.892900999999998,40.5152905
Paestum,3,14.95739575,40.41739575,14.925100999999998,40.385101,14.9896905,40.385101,14.9896905,40.4496905,14.925100999999998,40.4496905
Agropoli,3,14.952395749999999,40.35179575000001,14.920100999999999,40.319501,14.984690500000001,40.319501,14.984690500000001,40.384090500000006,14.920100999999999,40.384090500000006
S.MariaCast,3,14.91019575,40.28619574999999,14.877901,40.25390099999999,14.942490500000002,40.25390099999999,14.942490500000002,40.318490499999996,14.877901,40.318490499999996
GaeTi1,10,13.55729575,41.16229575,13.525001,41.130001,13.589590500000002,41.130001,13.589590500000002,41.194590500000004,13.525001,41.194590500000004
GaeTi2,10,13.60035675,41.09670425,13.568062,41.064409500000004,13.632651500000001,41.064409500000004,13.632651500000001,41.12899900000001,13.568062,41.12899900000001
GaeTi3,10,13.632652499999999,41.031112750000005,13.600357749999999,40.99881800000001,13.66494725,40.99881800000001,13.66494725,41.06340750000001,13.600357749999999,41.06340750000001
GaeTi4,10,13.664948249999998,40.96552125000001,13.632653499999998,40.93322650000001,13.697243,40.93322650000001,13.697243,40.997816000000014,13.632653499999998,40.997816000000014
GaeTi5,10,13.697243999999998,40.89992975000001,13.664949249999998,40.867635000000014,13.72953875,40.867635000000014,13.72953875,40.93222450000002,13.664949249999998,40.93222450000002
GaeTi6,10,13.729539749999997,40.834338250000016,13.697244999999997,40.80204350000002,13.761834499999999,40.80204350000002,13.761834499999999,40.86663300000002,13.697244999999997,40.86663300000002
GaeTi7,10,13.761835499999997,40.76874675000002,13.729540749999996,40.73645200000002,13.794130249999998,40.73645200000002,13.794130249999998,40.801041500000025,13.729540749999996,40.801041500000025
GaeTi8,10,13.802205187499997,40.70315525000002,13.769910437499997,40.670860500000025,13.834499937499999,40.670860500000025,13.834499937499999,40.73545000000003,13.769910437499997,40.73545000000003
BoccaG1,20,13.867796687499997,40.65229574999999,13.835501937499997,40.620000999999995,13.900091437499999,40.620000999999995,13.900091437499999,40.6845905,13.835501937499997,40.6845905
BoccaG2,20,13.933388187499997,40.61999999999999,13.901093437499997,40.58770524999999,13.965682937499999,40.58770524999999,13.965682937499999,40.652294749999996,13.901093437499997,40.652294749999996
BoccaG3,20,13.998979687499997,40.58770424999999,13.966684937499997,40.55540949999999,14.031274437499999,40.55540949999999,14.031274437499999,40.61999899999999,13.966684937499997,40.61999899999999
BoccaG4,20,14.064571187499997,40.555408499999984,14.032276437499997,40.523113749999986,14.096865937499999,40.523113749999986,14.096865937499999,40.58770324999999,14.032276437499997,40.58770324999999
BoccaG5,20,14.130162687499997,40.52311274999998,14.097867937499997,40.49081799999998,14.162457437499999,40.49081799999998,14.162457437499999,40.55540749999999,14.097867937499997,40.55540749999999
SalerTirr1,30,14.195754187499997,40.48005174999998,14.163459437499997,40.44775699999998,14.228048937499999,40.44775699999998,14.228048937499999,40.512346499999985,14.163459437499997,40.512346499999985
SalerTirr2,30,14.261345687499997,40.44775599999998,14.229050937499997,40.41546124999998,14.293640437499999,40.41546124999998,14.293640437499999,40.48005074999998,14.229050937499997,40.48005074999998
SalerTirr3,30,14.326937187499997,40.415460249999974,14.294642437499997,40.383165499999976,14.359231937499999,40.383165499999976,14.359231937499999,40.44775499999998,14.294642437499997,40.44775499999998
SalerTirr4,30,14.392528687499997,40.38316449999997,14.360233937499997,40.35086974999997,14.424823437499999,40.35086974999997,14.424823437499999,40.41545924999998,14.360233937499997,40.41545924999998
SalerTirr5,30,14.458120187499997,40.35086874999997,14.425825437499997,40.31857399999997,14.490414937499999,40.31857399999997,14.490414937499999,40.383163499999974,14.425825437499997,40.383163499999974
SalerTirr6,30,14.523711687499997,40.318572999999965,14.491416937499997,40.28627824999997,14.556006437499999,40.28627824999997,14.556006437499999,40.35086774999997,14.491416937499997,40.35086774999997
SalerTirr7,30,14.589303187499997,40.28627724999996,14.557008437499997,40.253982499999964,14.621597937499999,40.253982499999964,14.621597937499999,40.31857199999997,14.557008437499997,40.31857199999997
SalerTirr8,30,14.654894687499997,40.26474674999997,14.622599937499997,40.23245199999997,14.687189437499999,40.23245199999997,14.687189437499999,40.29704149999997,14.622599937499997,40.29704149999997
SalerTirr9,30,14.720486187499997,40.24321624999997,14.688191437499997,40.21092149999997,14.752780937499999,40.21092149999997,14.752780937499999,40.27551099999997,14.688191437499997,40.27551099999997
SalerTirr10,30,14.786077687499997,40.22168574999998,14.753782937499997,40.18939099999997,14.818372437499999,40.18939099999997,14.818372437499999,40.253980499999976,14.753782937499997,40.253980499999976
SalernTirr11,30,14.851669187499997,40.205537874999976,14.819374437499997,40.17324312499997,14.883963937499999,40.17324312499997,14.883963937499999,40.237832624999974,14.819374437499997,40.237832624999974
